질문,답변
그럼 보건소 꼭 방문 해야합니까?,네 맞습니다.
그 다음은 어떻게합니까?,검진후 신청서 작성하셔서 신분증과 같이 제출하시면 됩니다. 
청소년인데 학생증도 됩니까?,학생증도 가능합니다.
그리고 온라인으로 수령할수 있는겁니까?,네 정부24이용하시면 출력가능합니다. 
얼마나 걸립니까?,보통 5일정도 소요됩니다. 
귀농인 지원사업 어떤게 있는지 알고싶습니다.,나이가 어떻게 되십니까?
나이가 중요합니까?,청년농에 대한 지원사업이 따로 있어서 구분해 안내드리려합니다. 
25입니다. ,그럼 청년농 해당되십니다.
,
,
,
,
,
,
,
귀농정착인 지원 문의합니다. ,네 어떤것을 도와드리면 되겠습니까?
제가 귀촌한지 2년 되었는데 신청할 수 있습니까?,이 지원정책은 귀농정착 후 3년 경과한 시점부터 신청하실 수 있습니다. 
3년 채우려면 세 달 정도 남았는데 지금 신청 안됩니까?,신청이 9월이니까 이번에는 신청 자격이 안됩니다.
그럼 다음 신청은 언제입니까?,내년 4월에는 신청 가능합니다. 
네 알겠습니다. ,
,
,
,
나이 제한은 따로 없습니까?,만20세 이상 60세 이하로 제한되어 있습니다. 
네 알겠습니다. 일단 더 알아보고 내년에 신청하겠습니다. ,네 감사합니다. 
안녕하세요. 제가 이번에 공무원 시험을 봤는데 시험 결과는 언제 나옵니까?,결과는 9월 20일로 예정되어있습니다. 
아직 멀었네요. ,
,
,
,
,
,
,
,
,
농촌일손돕기 봉사 신청하려고합니다. ,네. 1365자원봉사포털에서 신청 가능하십니다. 
봉사활동은 어디서합니까?,서울시내 농가에서 진행합니다. 
과수농장으로 갈 수 있습니까?,"과수뿐만 아니라 채소, 화훼 농가도 참여 가능합니다. "
어떤일을 하게 됩니까?,이번에 홍수로 인해 농작물 훼손이 많습니다. 피해 농가에 방문해서 농사 보조업무를 하게 됩니다. 
농사 경험 없어도 가능합니까?,네 가능합니다. 
준비물은 따로 있습니까?,편한 복장과 도시락과 간식등 챙겨오시면 됩니다. 
중식은 제공 안됩니까?,네 중식은 제공되지 않기때문에 개인 도시락 지참하셔야 합니다.
봉사활동 하고 확인증 받을 수 있습니까?,네 받으실 수 있습니다.
근데 일단 하루만 신청하고 싶은데 하루만 해도됩니까?,네 신청하실때 날짜를 지정하실 수 있습니다. 
네 알겠습니다. 감사합니다. ,감사합니다.
주말농장 신청하려고 합니다. ,현재는 신청기간이 마감되었습니다. 
다음 신청은 언제입니까?,매년 1월마다 선착순으로 접수 받고 있습니다. 
아쉽네요.,
,
,
,
,
저희가 수확한 작물은 집에가져가서 먹어도 됩니까?,네 물론입니다. 
매주 농장에 방문해야합니까?,의무는 아니지만 매주 방문하시는것을 추천드립니다. 
알겠습니다. 수고하세요,네 감사합니다.
자동차 등록 어떻게 합니까?,자동차 명의 변경하십니까?
네. 이전 등록하려합니다. ,먼저 취득세 고지서를 발급하셔야 합니다. 
어디서 할 수 있습니까?,구청 자동차 등록 민원실에서 접수하시면 됩니다. 
그 다음엔 어떻게 합니까?,취등록세 납부하셔야 합니다. 
카드 결제됩니까?,네 현금 및 카드 납부 가능합니다. 
카드 결제하면 수수료 있습니까?,국민은행 외 타행카드는 수수료가 발행됩니다. 
그 다음은 어떻게 합니까?,그 다음 같은 장소에서 채권 구입을 하셔야합니다. 
채권 얼마정도 합니까?,13만원 입니다. 
카드 결제됩니까?,아뇨. 채권은 현금만 가능합니다. 
돈좀 챙겨가야겠네요. 그럼 명의변경하는데 얼마나 걸립니까?,1시간 정도 소요됩니다. 
안녕하세요. 저 자격증 취득한 거 신청하려합니다.,자격증 취득이 몇년도입니까?
2018년도 입니다. ,2018년도에 취득한 자격증이 2개 있으신데 어떤것을 신청하십니까?
"둘다 받고싶은데, 하나로 합쳐서 받을 수 있습니까?",네 가능합니다. 
그럼 하나로 합쳐서 신청하겠습니다. ,네. 상장형과 수첩형 두 가지중 선택해주십시오.. 
수첩형으로 받겠습니다. ,
,
,
,
,
,
안녕하세요. 저 장학생 문의하려 합니다.,네 말씀하십시오. 
제가 홈페이지에서  충남인재육성재단 장학생 모집 선발 공고문을 확인했습니다. ,네 현재 모집중입니다. 
혹시 충남 한울타리 장학생이랑 희망드림 장학생이랑 중복 선발 가능합니까?,아니요. 중복선발은 배제하고 있습니다. 
아 그렇군요.. 그럼 한울타리 장학생 관련 질문좀 드리겠습니다.,
,
,
,
마지막으로 질문 하나만 더 드릴게요. 장학금액은 얼마나 됩니까?,1인에 200만원 입니다. 
현금으로 지급됩니까?,선발대상자 분 개인 계좌번호로 입금될 예정입니다. 
그렇군요. 네 친절히 안내해주셔서 감사합니다. ,감사합니다. 
등본뽑는 기계가 작동이 안됩니다.,어떤거 말씀하십니까?
저 지금 00도서관 안에 있는 등본출력기계로 등본뽑으려고 하는데 안됩니다. ,네 제가 도와드리겠습니다. 
,
,
,
,
,
,
,
,
안녕하세요. 저 다가구 혜택 문의좀 드리려합니다. ,네 무엇을 도와드리면 되겠습니까?
제가 기사를 통해서 원래 자녀 3인이상 받던 혜택을 올해부터 2인만 되도 받을 수 있다고 하더던데 맞습니까?,네. 맞습니다. 현재 협의 진행중이라 아마 내달부터는 적용되실 수 있으실겁니다.
감사합니다. ,네 혹시 아이키움수당에 대해서 알고계십니까?
아뇨 그건 처음들어 봅니다. ,이 정책도 다음달 부터 진행되는건데 기존에 12개월 아기 기준으로 매달 10만원씩 지원하던게 36개월 아기까지 확대되었습니다. 
저희 아기도 해당되는겁니까?,현재 몇개월입니까?
이제 막 30개월 됐습니다. ,네 그럼 해당되시니까 신청기간에 맞춰서 신청 꼭 해주십시오.
신청기간이 어떻게 됩니까?,신청기간은 이번달 말까지 입니다.
알려주셔서 감사합니다.,네 처음 문의주신 2인 자녀 지원사업도 확정되는대로 안내 고지가 우편으로 갈겁니다. 
저 최근 이사를 해서 주소 변경 가능합니까?,네 주소 불러주시면 바로 수정해드릴게요. 
서울 OO동 OOO아파트 OOOO호 입니다. ,네 수정되었습니다. 
안녕하세요. 유기동물 복지 관련 문의드리려합니다. ,네 담당자분으로 연결해 드리겠습니다. 
네 감사합니다 .,전화받았습니다. 무엇을 도와드리면 되겠습니까?
저희 집 근처에 고양이가 새끼를 낳은거같은데 위험해 보입니다. ,
,
,
,더 도와드릴건 없습니까?
네 하나더 여쭤볼게요. 그 어미고양이 중성화 관련 지원사업은 없습니까?,있습니다. 저희가 100% 중성화 비용을 다 지원은 안되고 보호자나 구조하시는 분께서 부담을 해주시는 조건에 지원을 해주고 있습니다. 
알겠습니다. ,
,
,
가산도서관 지금 이용 불가입니까?,책 대여는 가능하신데 자유열람실은 이용하실 수 없습니다.
언제까지입니까?,코로나로 인한거라 추세를 지켜봐야할거같습니다. 
그럼 이번에 사물함 결제한건 어떻게 됩니까?,이용하시지 못한 일수에 대한 환불이 진행될 예정입니다. 
알겠습니다.,
,
,
,
,
,
,
대학생 아르바이트 모집 공고 보고 연락드립니다. ,네 무엇을 도와드리면 되겠습니까?
공고문을 봤는데 3개월간 사무보조 업무라고 되어있는데 어떤 기관에서 일을 하는겁니까?,공공기관으로 배정될 예정입니다. 
지금은 확실히 모르는겁니까?,"네 지금은 확실히 말씀드리기 어렵고, 지원서 보고 배치 될 예정입니다. "
저는 체육문화 부서에서 업무를 보고싶은데 어떻게 하면되겠습니까?,자기소개서에 그 분야 강점을 서술해주시면 고려할 것으로 예상됩니다. 
자소서가 관건이군요. ,네 혹시 관련 자격증이 있습니까?
네 문화관광지도사 2급 자격증이 있습니다. ,그럼 자격란에 입력해주십시오. 
근데 아직 가채점만 한 상태라 자격증 취득이라고 해도 됩니까?,아직 미취득 상태시면 취득 예정이라고 비고란에 써주시면 됩니다. 
아 감사합니다. ,다른 질문 있으십니까?
네 친구랑 같이 지원해도 됩니까?,같이 지원은 가능하시지만 많은 분들이 지원해주신거라 같이 근무를 하실수는 없을수도 있습니다. 
그렇군요. 알겠습니다. ,네 감사합니다. 
농기계 대여 하려합니다. ,넵 농기계 파트로 연결해 드리겠습니다.
감사합니다. ,전화 받았습니다. 어떤 기계 대여 원하십니까?
트랙터입니다.,트랙터는 현재 대여중이라 다음달 초에 대여 가능합니다. 
아니 지금이 수확철인데 다음달까지 기다려야합니까?,죄송합니다. 재원이 한정적이라서 어쩔수가 없습니다.
시에서 몇 대를 보유하고 있습니까?,10대 보유중인데 지금 다 대여되었습니다. 
홍보를 그렇게 많이 했으면서 10대 밖에 지원을 안해주면 10명만 지원받으란 얘깁니까?,죄송합니다. 개선하도록 하겠습니다. 
,
,
,
,
사이버강좌가 안열립니다.,확인도와드리겠습니다. 어떤 강좌 들으십니까?
컴퓨터활용능력입니다. ,어제 업로드 된 12차 강의 말씀하시는거 맞습니까?
네 맞습니다. ,음.. 재생이 잘 되는데 컴퓨터 설정이 잘못된거 아닙니까?
어제는 이상이 없었는데 오늘 갑자기 안됩니다.,괜찮은시면 제가 원격으로 도와드려도 괜찮겠습니까?
네 감사합니다. ,그럼 www.0OOO.com에 접속하셔서 원격 수락 부탁드립니다. 
네 수락했습니다. ,네 연결되었습니다. 제가 확인을 좀 해보겠습니다.
네~,아 여기 인터넷 설정에서 팝업 차단을 해놔서 그런거 같습니다. 
어라? 저 그렇게 한적 없습니다.,아마 페이지가 업데이트 되면서 설정이 잘 못된거같습니다. 
네 감사합니다. ,그럼 원격해제하겠습니다. 
,
서울시민체육센터 지금 운영합니까?,네 일부 강좌만 인원제한으로 운영하고 있습니다. 
무슨 강좌 운영중입니까?,요가와 테니스 운영중입니다. 
테니스 오후 시간대 참여할 수 있습니까?,"네 오후 시간대는 7시, 9시 두 수업 진행중입니다."
,
,
,
운동화 밖에서 신은것도 괜찮습니까?,실내에서 사용하실 운동화 따로 준비하셔야 합니다. 
알겠습니다.,
,
,
내일배움카드 신청하려고 합니다. ,네 이전에 이용해보신적 있으십니까?
"아뇨, 처음입니다. ",아 그럼 먼저 회원가입을 해주셔야 합니다. 
네 회원가입 어떻게 합니까?,고용센터 홈페이지에서 바로 회원가입가능합니다. 
회원가입 하면 바로 이용가능합니까?,회원가입하고 카드 신청하면 자택 우편으로 발송될거에요
그럼 제가 언제쯤 받아볼수 있습니까?,2주 정도 소요됩니다. 
더 빨리 받아볼 순 없습니까?,접수 후 일괄로 배송되는거라 양해바랍니다. 
제가 고용센터로 직접 받으러 갈 순 없습니까?,회원가입하실때 선택하실 수 있습니다. 직접 수령 선택하시고 수령하실 센터 지정하시면 됩니다. 
고용센터 정확한 위치가 어떻게 됩니까?,고용센터 2층 안내데스크에서 수령하시면 됩니다.
운영시간은 어떻게 됩니까?,오후 6시까지입니다. 
네 퇴근할 때 들러야겠네요. ,네 감사합니다.
저 내일배움카드로 강좌신청을 하려합니다. ,학생이십니까?
학생입니다. ,네 어떤 강좌 신청하십니까?
컴퓨터 자격관련 강좌를 듣고싶은데 추천해주실거 있으십니까?,"컴퓨터 활용능력, 캐드, 모스마스터 과정이 있습니다. "
컴퓨터 활용능력 1급도 합니까?,네 1급 강좌도 있습니다. 
그걸로 신청하고 싶은데 비용이 어떻게 됩니까?,36만원 중 본인부담금 30%입니다. 
아 그럼.. 10만원정도 합니까?,정확히 10만 8천원에 교재는 별도 입니다. 
아 교재는 어디서 삽니까?,가까운 서점이나 온라인으로도 구매하실수 있습니다. 
네 그럼 다음주부터 강좌 신청하겠습니다. ,네 다음주 월요일부터 수업 시작하는걸로 신청 도와드리겠습니다. 
,
,
안녕하세요 저 서울시립도서관에서 진행중인 공모전 문의하려합니다. ,네. 무엇을 도와드립니까?
독서평 공모전에 지원하려고 하는데 공고문에 올라와있는 도서 리스트 중에서만 선택할 수 있습니까?,아닙니다. 올려놓은것은 예시여서 그 외 작품을 선정하셔도 무방합니다.
아 그럼 인문학 분야에서 아무거나 선택해서 써도 됩니까?,네 맞습니다. 
페이지수 제한은 없습니까?,A4 2~3장 내외입니다. 
,다시 확인해 보겠습니다.
네,
,
,
,
,
안녕하세요. 제가 내일배움카드로 교육신청을 좀 하려고합니다.,네 무엇을 도와드립니까?
네 제가 직장인인데 7시 이후로 진행되는 바리스타 클래스 있습니까?,원하시는 지역이 어디입니까?
안산입니다. ,안산에는 현재 바리스타 클래스가 진행중인게 없습니다. 
그럼 혹시 시흥시에는 있습니까?,시흥시에 00커피에서 저녁 7시에 진행되는 강좌가 있습니다. 
"시흥까지 가려면 7시까지는 못갈꺼같은데, 다른 강좌는 없습니까?",네 현재까지는 강좌오픈 예정이 되어있지 않습니다. 
알겠습니다.,
,
,
,
,
안녕하세요. 내일배움카드로 교육신청을 좀 하려고합니다.,네 직장인이십니까?
직장인입니다. ,네 직장인 대상으로 진행되는 강좌는 조금 한정되어 있습니다. 
아 어떤 강좌 있습니까?,한식조리기능사 강좌와 도자기 클래스 강좌 있습니다. 
한식조리기능사 자격증 취득도 할 수 있습니까?,네 시험과정 진행하고 있습니다. 
그걸로 접수하고 싶습니다.,
,
한식조리기능사 강좌 비용이 얼마입니까?,50만원 중 본인부담비 50%입니다. 
재료비 포함입니까?,네 재료비는 포함입니다. 
그럼 제가 준비해 가야할건 없습니까?,음. 앞치마 정도만 챙겨오시면 될거 같습니다. 
네 알겠습니다. ,감사합니다. 
서울시에서 진행하는 평생교육 관련 문의드립니다. ,네 신청하시는 겁니까?
네 포스터를 봤는데 사진반이 있던데 저 사진을 정말 못찍는데 참여 가능합니까?,네. 가능합니다. 초보자를 위한 강좌라 기본지식 없으셔도 무리없이 들으실 수 있습니다. 
신청은 언제부터 받는겁니까?,다음주 월요일 9시부터 선착순으로 접수를 받고 있습니다. 
정원이 몇명입니까?,정원은 20명 입니다. 
서둘러야겠네요.,네 사진반은 특히 인기가 많아서 빠른 시일 중에 마감이 되는 편입니다. 
네 참고하겠습니다. ,
,
,
,
,
이번에 홍수로 인해 피해를 많이 봤는데 지원정책 있습니까?,지역이 어떻게 됩니까?
아산입니다.,아산시는 이번에 특별재해지역으로 선포되어서 지원정책을 추진하고 있습니다. 
어떤 사업이 있습니까?,어떤 피해를 보셨는지에 따라 다릅니다. 
,
,
,혹시 농작물 재해보험에 가입하신 거 있으십니까?
네. 근데 저번에 지원을 한번 받은적이 있습니다. ,
,
,주소가 어떻게 됩니까?
,
기초수급자 신청하려고 합니다. ,네 먼저 신원조회 해드리겠습니다. 
,
,혹시 가족분들이랑 같이 살고 계십니까?
아뇨. 저 혼자 살고있습니다.,아들 한 분 있으시지 않으십니까?
네. 있습니다. ,현재 아드님이 수입이 있으셔서 민원자분께서 기초생활수급자에 해당이 안됩니다.
연 끊은지 오래입니다.,
,
,
,
,
운전면허 갱신하려합니다. ,교통과로 문의하시면 됩니다. 
,
,
,
,
,
,
,
,
,
주소 이전하려 합니다. ,네 어디서 어디로 이전하십니까?
상도동에서 가산동으로 갑니다.,이전 이유가 어떻게 되십니까?
이사입니다.,네 세대주가 본인이십니까?
자취하는데 그럼 제가 세대주 맞습니까?,네 맞습니다. 
,
,현재 이 주소앞으로 살고계신분이 있다고 나오는데 확인 부탁드리겠습니다.
네? 그게 무슨 말입니까?,집 계약을 언제하셨습니까?
저번주에 했습니다. ,아 그럼 아마 전 집사람이 주소이전을 안한거 같습니다.
그럼 어떻게 해야합니까?,연락처는 모르십니까?
네.,그럼 집주인께 연락드려서 주소 변경해달라고 요청하셔야 될거같습니다.
이번에 한국사 시험 미뤄집니까?,아직 미정이지만 미뤄질 확률이 높아보입니다. 
언제쯤 공고합니까?,이번주 중에 공고 올라갈거같습니다. 
그럼 다음 시험일정은 어떻게 됩니까?,한 달 미뤄질 것으로 예상됩니다. 
그럼 신청해놓은 기록은 남아있습니까?,네. 기존에 신청하신 내역과 동일하게 진행됩니다. 
혹시 환불하려면 어떻게 합니까?,로그인하시고 환불신청하시면 됩니다. 
환불 수수료가 있습니까?,아니요. 코로나로 인해 연기때문에 취소하시는거에 대해서 수수료를 부과하지 않습니다. 
환불기간은 어떻게 됩니까?,시험 보기 일주일 전까지 가능합니다. 
그럼 좀 고민해보고 결정하겠습니다. ,네 더 궁금한 사항 없으십니까?
시험장소 다시 확인해 주시겠습니까?,홈페이지 마이페이지에서 확인하실 수 있습니다. 
알겠습니다. ,감사합니다.
저희 딸아이 여권 좀 만들려고 합니다.,신규발급이십니까?
네,따님 나이가 어떻게 됩니까?
3살입니다. ,
,
,
,
,
,
,
,
"여권재발급 받으려고 하는데요, 신규디자인으로 받을 수 있습니까?",아직 신규 디자인 발급은 불가능하십니다. 
언제부터 신규 디자인으로 받을 수 있습니까?,20년 하반기부터 발급가능합니다. 
알겠습니다.,
,
,
재발급 준비물은 무엇입니까?,"사진1장과 신청서, 기존여권입니다. "
대리 수령은 가능합니까?,네 수령은 대리로 가능합니다.
대리수령할때 준비해갈게 있습니까?,"대리수령시 신청인 신분증과 대리인신분증, 접수증 있으시면 됩니다. "
접수하고 얼마나 기다려야 합니까?,영업일 기준 3일째에 받아보실 수 있습니다. 
재발급 비용은 얼마입니까?,5만원입니다. 
주택입주확정일자 받으려 합니다. ,세대주 본인이십니까?
네 맞습니다. ,성함이 어떻게 됩니까?
OOO입니다. ,이사 언제하셨습니까? 
5월 18일입니다.,
,
,
,
,
,
,
지방세를 내려면 어떻게 해야되요?,이용하시는 은행의 사이트에서 지방세 납부가 가능하세요.
은행 어플에서도 돼요?,어떤 은행을 이용하세요?
기업은행을 이용하고 있어요.,그럼 스마트폰에서 기업은행 어플을 설치하시면 납부가 가능하세요.
은행을 직접방문해도 돼요?,방문납부도 가능하세요.
은행위치 좀 알 수 있나요?,어느지점으로 안내해드릴까요?
서울역근처로 안내해주세요.,도보로 10분위치에 서울역지점이 있어요.
버스로 가는 방법도 있어요?,도보로 가시는게 빠를거 같아요.
다른 납부방법도 있나요?,위택스 사이트에서 납부하실수 있어요.
사이트 주소가 어떻게 돼요?,www.wetax.go.kr 입니다.
다른곳에서는 납부할수 없나요?,이용하시는 은행의 사이트에서도 지방세 납부가 가능하세요.
지방세는 조회할 수 있어요?,간단한 본인확인 후 안내해드릴게요.
알겠어요.,지금 전화거신 핸드폰이 본인명의 맞나요?
네,생년월일을 말씀해주세요?
OO월OO일이에요.,살고계신 주소는 어디세요?
서울특별시 00구 00동이에요.,상세주소도 말해주세요?
OO아파트 OO동 OO호에요.,본인확인이 되었어요.
네.,지방세는 22만원으로 조회되네요.
어떻게 납부해요?,온라인으로는 위택스나 은행 홈페이지에서 가능하세요.
사이트 주소가 어떻게 돼요?,OOOO.OOO.go.kr 입니다.
은행 어플에서도 돼요?,
서울시주최 페스티벌 예매해놨는데 예정대로 진행되나요?,현재로썬 진행될 예정이에요. 
코로나로 다른 축제들은 취소됐는데 이건 취소 안되나요?,"네, 철저한 방역수칙하에 진행할 예정이에요. "
그래도 무서워서 사람 많은 곳에 못갈거 같은데요. ,
,
,
,
,
,
,
,
청년저축계좌 지금 신청할 수 있나요?,죄송하지만 이미 신청기간이 끝났어요. 
그럼 다른 정책은 없나요?,희망두배 청년통장은 신청하실수 있어요.
그건 뭐에요?,청년저축계좌랑 비슷한 정책이에요.
서울시민 대상이에요?,네 맞습니다. 
자세히 설명해 주시겠어요?,2~3년간 꾸준히 저축하는 서울청년 대상 본인 저축액 100%를 서울시 예산으로 추가 적립해주는 통장이에요.
얼마를 추가 적립해주나요?,저축액을 두 배로 적립해 줄거에요.
모집인원은 어떻게 되나요?,총 3천명이에요.
신청기간은 언제까지에요?,이번달 24일까지 신청기간이니 서둘러 신청해주세요.
네 주소지가 서울이면 되나요?,네 서울거주자이시면서 만 18세~34세 이하의 청년 대상이세요. 
네 알겠어요. 감사합니다.,네 감사합니다.
청년저축계좌 신청하려는데요.,네 신청요건 확인해보셨나요?
네 90년 생이고 서울에 살고있어요. ,
,
,매달 얼마씩 저축하실거에요?
10만원씩 할게요. ,"네, 매월 몇일 입금하실래요?"
20일로 할게요.,
,
,
,
,
신혼부부 전세대출 문의하려는데요.,네 무엇을 도와드릴까요?
저희가 작년에 결혼했는데 신혼부부 조건이 맞나요?,네 결혼 7년 이내 부부는 신혼부부에 해당됩니다.
대출 상품이 뭐가 있나요?,임대차 보증금 지원사업과 버팀목 전세자금 대출이 있어요.
어떤 은행에서 받을 수 있나요?,"하나은행, 국민, 신한은행을 통해서 받으실 수 있어요. "
버팀목 대출 받으려면 조건이 있어요?,두분 합산 연소득이 9천 7백만원 이하이셔야 돼요.
네 9천 이하에요.,
,
,
,
,
신혼부부 버팀목 전세대출 받고싶어요.,네 무엇을 도와드릴까요?
제가 부동산 통해서 집을 몇개 봤는데 버팀목이 안된다는 집도 있다고 하던데요.,네 버팀목 전세 지원받으시려면 가능한 주택이 따로 있어요.
그럼 그 한정된 곳에서 집을 찾아야하나요?,네. 하지만 해당안하는 집이 매우 한정적이라 큰 제한은 아닐거에요.
네 알겠습니다. ,
,
,
,
,
,
,
